7
6
Row 0
0 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 30 29 29 29 29 30 25 22 22 22 22 22 22 22 22 26 29 29 29 29 29 29 29 29 25 22 22 22 22 26 29 29 29 29 29 29 29 29 29 29 29 22 22 22 22 29 30 29 29 29 27 22 28 29 29 29 29 22 22 22 22 29 29 29 29 27 22 22 22 28 30 29 29 22 22 22 22 29 29 29 29 25 22 22 22 22 22 22 22 22 22 22 22 28 29 29 29 29 25 22 22 22 22 22 22 22 22 22 22 22 28 30 29 29 29 22 22 22 22 22 22 22 22 22 22 22 22 28 29 29 29 22 22 22 22 22 22 22 22 22 22 22 22 22 28 29 29 22 22 22 22 22 22 "
1 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 26 29 29 29 30 25 22 22 22 22 22 22 22 22 26 29 29 29 29 29 29 29 25 22 22 26 29 30 25 26 29 29 29 29 29 29 29 29 29 22 29 29 29 29 29 29 29 29 29 27 28 30 29 29 29 22 29 29 29 29 29 29 29 29 27 22 22 28 29 29 27 22 29 29 29 29 29 29 29 27 22 22 22 26 29 29 22 22 22 28 29 29 29 30 27 22 22 22 26 29 29 29 22 22 22 22 22 22 22 22 22 22 22 22 29 29 29 29 22 22 22 22 22 22 22 22 22 22 22 22 29 29 30 27 22 22 22 22 22 22 22 22 22 22 22 22 22 98 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 "
2 "22 22 22 35 35 35 22 22 22 22 22 22 22 22 22 22 22 22 22 35 35 35 22 20 11 11 22 22 22 22 22 22 22 22 20 36 36 36 11 20 20 11 11 20 29 29 30 25 22 22 11 20 11 20 20 11 11 11 11 29 29 29 29 29 22 11 20 11 20 11 11 20 11 11 11 29 29 29 29 29 22 11 11 11 11 20 11 11 11 11 11 29 29 29 29 29 22 22 11 20 11 11 11 20 11 11 20 22 22 22 22 22 22 22 22 11 11 11 11 11 11 11 22 22 22 22 22 22 22 22 22 11 11 11 11 11 11 11 22 22 22 22 22 22 22 22 22 20 11 11 20 11 11 22 22 22 22 22 22 22 22 22 22 11 11 11 11 11 11 22 22 22 22 22 22 22 22 22 22 22 11 11 11 11 11 22 22 22 22 22 22 22 "
3 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 26 30 29 29 29 29 25 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 29 29 30 22 22 22 22 22 29 29 29 29 29 29 29 29 29 29 29 25 22 22 22 22 29 29 29 29 29 29 29 29 29 29 29 29 25 22 22 22 22 22 28 29 29 29 29 29 29 29 29 29 29 22 22 22 22 22 22 22 22 22 28 30 29 29 29 29 29 22 22 22 22 22 22 22 22 22 22 22 28 29 29 29 29 22 22 22 22 22 22 22 22 22 22 22 22 28 29 29 30 22 22 22 22 22 22 22 22 22 22 22 22 22 28 98 27 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 "
4 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 26 30 29 29 29 25 22 22 22 22 22 26 30 29 29 29 29 29 29 29 29 29 29 29 22 22 22 29 29 29 29 29 29 29 29 29 29 29 29 29 22 22 26 29 29 29 29 29 29 29 29 29 29 29 29 27 22 22 29 29 29 29 29 29 29 29 29 29 29 30 27 22 22 22 30 29 29 29 29 29 30 27 22 22 22 22 22 22 22 22 28 30 29 29 29 27 22 22 22 22 22 22 22 22 22 22 22 22 22 28 29 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 29 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 98 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 "
5 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 29 29 29 30 25 22 22 22 22 22 22 22 22 22 22 22 29 29 29 29 29 22 22 22 22 22 22 22 22 22 22 22 28 29 29 29 29 25 22 22 22 22 22 22 22 22 22 22 22 28 29 29 29 29 29 25 22 22 22 22 22 22 22 22 22 22 30 29 29 29 29 29 29 30 25 22 22 22 22 22 22 22 28 29 29 29 29 29 29 29 29 25 22 22 22 22 22 22 22 30 29 29 29 29 29 29 29 29 22 22 22 22 22 22 22 22 22 22 28 29 29 29 29 29 22 22 22 22 22 22 22 22 22 22 22 28 30 29 29 29 22 22 22 22 22 22 22 22 22 22 22 22 22 22 28 98 22 22 22 22 "
Row 1
0 "22 22 22 22 22 22 22 22 29 29 22 22 22 22 22 22 22 22 22 22 22 22 22 26 29 29 22 22 22 22 22 22 22 22 22 22 22 22 22 30 29 29 25 22 22 22 22 22 22 22 22 22 22 22 26 29 29 29 29 22 22 22 22 22 22 22 22 22 22 22 29 29 29 29 29 22 22 22 22 22 22 22 22 22 22 26 29 29 29 29 30 22 22 22 22 22 22 22 22 22 22 29 29 29 29 29 27 22 22 22 22 22 22 22 22 22 22 29 30 29 29 27 22 22 22 22 22 22 22 22 22 22 22 28 29 29 29 22 22 22 22 22 22 22 22 22 22 22 22 22 28 29 27 22 22 22 22 22 22 22 22 22 22 22 22 22 22 98 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 "
1 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 29 29 29 29 22 22 22 22 22 22 22 22 22 22 26 30 29 29 29 29 25 22 22 22 22 22 22 22 26 29 29 29 29 29 29 29 29 29 25 22 22 22 22 26 29 29 29 29 29 30 29 29 29 29 29 30 25 22 22 29 29 29 29 29 29 29 29 29 29 29 29 29 29 22 22 29 29 29 29 27 29 29 29 29 28 29 29 29 29 22 22 30 29 29 27 22 22 22 22 22 22 28 29 29 29 22 22 28 29 29 22 22 22 22 22 22 22 22 28 29 29 22 22 22 30 29 22 22 22 22 22 22 22 22 22 22 22 22 22 22 28 98 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 "
