4
4
ROW 1
1 "97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 97 97 97 96 97 96 96 97 97 97 97 97 97 97 97 96 97 97 97 96 97 97 97 96 97 97 97 97 97 97 97 97 96 97 96 97 97 97 96 97 97 97 97 97 97 97 97 97 96 97 96 97 97 97 97 96 97 97 97 97 97 97 97 97 97 96 97 97 97 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 96 96 97 97 97 97 97 97 97 97 97 97 97 97 96 96 96 96 97 97 97 97 97 97 97 97 97 97 97 96 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 96 96 96 96 96 96 97 97 97 97 97 97 "
2 "97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 97 97 97 97 97 97 97 97 97 97 97 96 96 96 96 96 96 96 96 97 97 97 96 96 96 97 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 96 97 97 97 97 97 96 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 96 97 97 97 97 97 96 97 97 96 96 97 96 96 96 96 96 96 97 97 97 96 96 96 96 96 96 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 97 96 96 96 96 96 96 96 96 96 97 97 97 "
3 "97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 96 97 97 97 97 96 96 96 96 97 97 96 96 96 96 96 96 96 97 96 96 96 96 96 96 96 96 96 97 97 97 97 96 96 96 96 97 97 97 97 96 96 96 96 97 97 97 97 97 96 96 97 97 97 97 97 97 96 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 96 97 97 97 97 96 96 96 96 97 97 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 96 96 97 97 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 96 96 96 96 96 96 96 97 97 97 97 "
4 "97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 97 97 96 96 96 97 97 97 96 96 96 97 97 97 96 96 96 96 96 97 96 96 97 96 96 96 96 96 97 97 96 96 96 96 96 96 97 96 96 96 96 96 97 97 97 97 96 96 97 96 96 96 96 96 96 96 97 97 97 97 97 97 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 97 97 97 97 97 97 97 97 96 96 96 96 97 97 97 96 97 96 97 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 96 96 97 96 96 96 96 96 96 96 96 96 97 97 97 96 96 96 96 97 96 96 97 97 97 96 96 96 97 97 97 96 96 96 96 96 96 96 "
ROW 2
1 "97 97 97 97 97 96 96 96 96 96 97 97 97 97 97 97 97 97 97 96 96 96 96 96 96 96 96 96 97 97 97 97 97 97 96 96 96 96 97 96 97 96 96 96 97 97 97 97 97 97 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 97 97 96 96 96 97 96 97 96 96 96 97 97 97 97 97 97 97 97 96 96 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 96 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 97 97 96 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 97 96 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 97 97 97 "
2 "97 97 97 97 96 96 96 96 96 96 96 96 97 97 97 97 97 97 97 96 96 96 97 97 97 96 96 96 96 96 97 97 97 97 97 96 96 97 97 97 97 97 97 96 96 96 96 96 97 97 96 96 96 97 97 97 97 97 97 97 96 96 96 96 97 97 96 96 96 96 96 96 96 96 96 96 96 97 96 96 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 96 96 96 96 96 96 96 97 96 96 96 96 96 96 96 97 97 97 97 96 97 97 96 96 96 96 96 97 97 96 96 97 97 97 97 96 96 96 96 96 96 96 97 97 97 97 97 97 96 96 96 96 97 96 96 96 96 97 96 96 97 97 97 97 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 97 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 "
3 "97 97 97 97 97 96 96 96 96 96 96 96 97 97 97 97 97 97 97 97 96 96 96 96 96 96 96 96 96 97 97 97 96 96 97 96 96 97 97 97 97 96 96 96 96 96 96 97 96 96 96 96 96 97 97 97 97 96 96 96 96 96 96 96 96 96 96 97 96 96 96 96 96 96 96 96 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 96 96 96 96 96 97 97 96 96 96 96 96 96 96 96 96 97 97 96 96 96 97 97 97 97 96 96 96 96 97 96 96 97 97 97 96 96 97 97 97 97 96 96 96 96 96 96 97 97 97 96 96 96 97 97 97 97 96 96 96 96 96 96 97 97 97 97 96 96 "
4 "97 97 97 96 96 96 97 97 97 96 96 96 96 96 96 96 97 97 96 96 96 96 96 97 97 97 96 96 96 97 97 96 97 96 96 96 96 96 96 97 97 97 96 97 97 97 96 96 96 96 96 96 96 97 96 97 97 97 96 97 96 96 96 96 96 96 96 96 96 96 96 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 96 96 96 96 96 96 96 96 96 97 96 96 96 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 96 96 97 97 96 96 96 96 96 97 96 96 97 97 97 97 97 96 96 97 96 97 96 96 96 96 97 96 96 96 97 97 97 96 96 96 96 96 97 96 96 96 96 96 96 96 97 97 97 96 96 96 96 97 97 96 96 96 96 96 96 96 97 97 97 96 96 96 97 97 97 "
ROW 3
1 "97 97 97 97 97 97 97 97 97 97 97 96 96 97 97 97 97 96 96 96 96 96 96 97 96 96 96 97 96 96 96 97 97 96 97 97 97 97 97 97 96 97 97 97 97 97 96 97 97 96 96 96 96 96 96 97 96 96 96 96 96 97 96 97 97 96 97 97 97 97 96 97 96 97 96 97 97 97 96 97 97 96 97 96 96 97 96 96 96 97 97 96 96 96 96 97 97 96 97 96 97 97 97 96 97 97 96 96 97 97 97 97 97 96 97 96 97 96 97 96 96 96 96 97 96 96 96 97 97 96 96 96 97 96 97 96 97 96 97 97 96 97 96 97 97 97 97 96 96 96 97 96 97 97 97 97 96 97 96 97 97 96 96 96 96 97 97 96 96 96 96 96 96 97 96 97 97 97 97 96 96 97 97 97 97 97 97 97 97 97 97 97 "
2 "97 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 97 96 96 97 96 96 96 96 96 96 96 96 97 97 97 97 97 96 96 97 97 96 96 96 96 96 96 96 96 96 97 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 96 96 96 96 96 96 97 96 97 96 96 96 97 97 97 97 96 96 96 96 96 96 97 97 96 96 96 96 97 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 97 96 96 96 97 97 97 97 97 97 "
3 "97 97 97 97 96 96 96 96 96 96 97 97 97 97 96 96 97 97 97 96 96 96 97 96 96 96 96 97 97 96 96 96 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 96 97 96 96 96 96 96 97 97 96 96 96 96 96 97 97 97 97 97 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 96 96 96 96 96 96 96 96 96 96 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 96 96 96 96 96 97 97 96 96 96 96 96 96 96 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 96 96 96 96 96 96 96 97 97 96 96 96 "
4 "96 96 96 96 96 96 96 97 97 97 96 96 96 97 97 97 96 96 96 96 96 96 96 97 97 97 96 96 96 96 97 97 96 96 97 97 96 96 97 97 97 96 96 96 96 97 97 97 96 96 96 97 96 96 97 97 97 96 96 96 96 96 96 97 96 96 96 96 96 97 97 97 96 96 96 97 96 96 96 97 96 96 96 96 96 97 97 97 96 96 96 97 97 96 96 97 96 97 96 96 96 97 97 97 97 96 97 97 97 96 96 97 96 96 96 96 96 96 97 97 97 96 96 96 97 96 96 97 96 96 96 96 97 96 97 97 97 97 96 96 96 96 96 97 96 96 96 96 96 96 96 97 97 97 96 96 96 96 96 97 96 96 97 96 96 96 96 97 97 97 96 96 96 96 97 97 96 96 96 96 96 96 97 97 97 96 96 96 96 96 97 97 "
ROW 4
1 "97 97 97 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 96 97 96 97 96 97 96 97 96 97 96 97 96 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 96 96 97 96 97 96 97 96 97 96 97 96 97 96 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 96 96 97 96 97 96 97 96 97 96 97 96 97 96 96 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 96 97 96 97 96 97 96 97 96 97 96 97 96 97 97 97 96 96 96 96 96 96 96 96 96 96 96 96 96 97 97 97 97 97 97 96 96 96 96 96 96 96 96 96 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 "
