5
5
ROW 1
1 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 26 30 29 29 25 22 22 22 22 22 22 22 22 22 22 26 29 29 29 29 29 29 22 22 22 22 22 22 22 26 29 29 29 29 29 29 29 29 22 22 22 22 26 29 29 29 29 29 29 29 29 29 29 29 22 22 22 22 29 29 29 29 29 29 29 29 29 29 27 22 22 22 22 22 30 29 29 29 29 29 29 30 27 22 22 22 22 22 22 22 28 29 29 29 29 27 22 22 22 22 22 22 22 22 22 22 22 29 29 30 27 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 "
2 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 29 29 29 29 30 25 22 22 22 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 25 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 29 25 22 22 22 22 22 22 22 22 28 30 29 29 29 29 29 29 22 22 22 22 22 22 22 22 22 22 22 28 29 29 29 29 22 22 22 22 22 22 22 22 22 22 22 22 28 29 29 30 22 22 22 22 22 22 22 22 22 22 22 22 22 28 98 27 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 "
3 "01 01 01 01 01 00 11 11 11 49 49 49 49 49 49 49 01 01 01 01 00 12 11 11 16 49 29 29 29 29 29 29 01 01 01 01 01 11 11 11 00 49 29 29 29 29 29 29 01 01 01 01 00 11 11 11 00 49 29 29 29 29 29 29 01 01 01 00 00 11 11 16 00 49 29 29 29 29 29 29 01 01 01 01 12 11 11 00 01 49 29 29 29 29 29 29 01 01 01 00 11 11 11 01 01 49 29 29 29 29 29 29 01 01 01 00 11 11 11 00 00 49 29 29 29 29 29 29 01 01 01 00 18 11 11 14 01 49 29 29 29 29 29 29 01 01 01 01 00 11 11 11 00 49 29 29 29 29 29 29 01 01 01 01 01 18 11 11 01 49 29 29 29 29 29 29 01 01 01 01 01 01 11 11 14 49 49 49 49 49 49 49 "
4 "49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 29 29 49 49 49 49 49 34 49 49 49 49 49 49 29 29 29 29 29 29 49 49 29 29 29 29 49 49 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 81 29 29 29 29 81 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 81 29 29 29 29 81 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 49 49 49 49 49 49 49 29 29 49 49 49 49 49 49 49 "
5 "49 49 49 49 49 49 49 01 18 11 11 20 01 01 01 01 29 29 29 29 29 29 49 01 00 11 11 11 00 01 01 01 29 29 29 29 29 29 49 01 00 11 11 11 00 01 01 01 29 29 29 29 29 29 49 01 01 18 11 11 00 00 01 01 29 29 29 29 29 29 49 01 01 00 11 11 14 00 01 01 29 29 29 29 29 29 49 01 01 00 11 11 11 00 01 01 29 29 29 29 29 29 49 01 00 12 11 11 16 01 01 01 29 29 29 29 29 29 49 01 00 11 11 11 01 01 01 01 29 29 29 29 29 29 49 00 00 11 11 16 01 01 01 01 29 29 29 29 29 29 49 00 12 11 11 00 00 01 01 01 29 29 29 29 29 29 49 01 20 11 11 00 00 01 01 01 49 49 49 49 49 49 49 01 11 11 11 00 01 01 01 01 "
ROW 2
1 "22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 "
2 "99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 77 77 77 77 77 99 99 99 99 99 99 99 99 99 99 99 77 69 69 69 77 99 99 99 99 99 99 99 77 77 77 77 77 69 69 69 77 99 99 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 69 69 69 69 69 69 69 77 99 99 99 99 99 99 99 77 77 77 77 77 71 77 77 77 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 "
3 "49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 20 49 49 49 49 49 20 20 11 11 11 11 11 11 11 11 20 11 11 20 11 11 11 11 11 11 11 11 11 11 11 11 20 20 11 11 11 11 11 11 11 11 11 11 11 11 11 11 20 20 11 11 11 11 11 11 16 00 00 00 00 00 00 00 20 20 11 11 16 00 00 00 00 00 00 00 00 00 00 00 01 01 00 00 00 00 00 01 01 00 00 00 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 "
