4
4
ROW 0
0 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 58 04 04 04 04 04 58 58 58 04 04 04 04 58 58 58 58 58 04 58 04 58 58 58 58 58 04 04 04 58 58 60 58 58 58 58 58 58 58 60 58 58 04 04 04 58 58 58 60 58 58 58 58 58 60 58 58 58 04 04 04 58 58 58 58 04 04 04 04 04 58 58 58 58 04 04 04 58 58 58 58 04 04 04 04 04 58 58 58 58 04 04 04 58 58 58 58 60 04 04 04 60 58 58 58 58 04 04 04 58 58 58 60 58 58 58 58 58 60 58 58 58 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 04 04 04 04 04 04 58 04 04 04 04 04 04 04 "
1 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 58 58 58 58 58 58 04 04 04 04 04 04 04 58 60 58 58 58 58 58 58 60 58 04 04 04 04 04 04 58 58 58 58 58 58 58 58 58 58 04 04 04 04 04 04 58 58 58 58 60 60 58 58 58 58 04 04 04 04 04 04 58 58 58 58 60 60 58 58 58 58 58 58 58 04 04 04 58 58 58 58 58 58 58 58 58 58 04 04 04 04 04 04 58 60 58 58 58 58 58 58 60 58 04 04 04 04 04 04 04 58 58 58 58 58 58 58 58 04 04 04 04 04 04 04 04 04 04 04 58 58 04 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 04 04 04 04 04 04 04 "
2 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 60 60 60 60 60 60 60 60 04 04 04 04 04 04 04 04 60 58 58 58 58 58 58 60 04 04 04 04 04 04 04 04 60 58 60 60 60 60 60 60 04 04 60 60 60 60 60 60 60 58 60 04 04 04 04 04 04 58 58 58 58 58 58 58 58 58 60 04 04 04 04 04 04 04 60 60 60 60 60 60 60 58 60 04 04 04 04 04 04 04 04 04 04 04 04 04 60 58 60 60 60 60 60 60 04 04 04 04 04 04 04 04 60 58 58 58 58 58 58 58 58 04 04 04 04 04 04 04 60 60 60 60 60 60 60 60 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 "
3 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 60 58 58 60 60 58 58 60 58 58 58 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 60 58 58 60 60 58 58 60 58 58 58 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 "
ROW 1
0 "04 04 04 04 04 04 04 04 58 04 04 04 04 04 04 04 04 04 04 58 58 58 58 60 58 60 58 58 58 58 04 04 04 04 58 58 58 58 58 60 58 60 58 58 58 58 58 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 58 58 58 58 58 60 58 60 58 60 58 60 60 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 58 58 60 58 60 58 60 58 60 60 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 "
1 "04 04 04 04 04 04 04 58 58 04 04 04 04 04 04 04 04 04 04 58 58 58 04 58 58 04 58 58 58 04 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 58 58 58 58 60 58 58 60 58 58 58 58 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 58 58 58 60 58 58 60 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 58 58 58 58 60 58 58 60 58 58 58 58 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 58 58 58 58 60 58 58 60 58 58 58 58 04 04 04 04 04 58 58 58 58 58 58 58 58 58 58 04 04 04 04 04 04 04 04 04 04 38 04 04 04 04 04 04 04 04 "
2 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 58 58 58 58 58 60 58 60 58 58 58 58 58 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 58 60 58 60 58 60 58 60 58 60 58 60 58 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 58 60 58 60 58 60 58 60 58 60 58 60 58 04 04 04 58 58 58 58 58 58 58 58 58 58 58 58 58 04 04 04 58 58 58 58 58 60 58 60 58 58 58 58 58 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 "
3 "04 04 04 04 04 04 04 58 58 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 58 58 04 04 04 04 04 04 04 04 04 04 04 58 60 58 58 60 58 04 04 04 04 04 04 04 04 04 04 60 58 58 58 58 60 04 04 04 04 04 04 04 04 04 04 60 58 58 58 58 60 04 04 04 04 04 04 04 04 04 04 58 60 58 58 60 58 04 04 04 04 04 04 04 04 04 04 58 60 58 58 60 58 04 04 04 04 04 04 04 04 04 04 60 58 58 58 58 60 04 04 04 04 04 04 04 04 04 04 60 58 58 58 58 60 04 04 04 04 04 04 04 04 04 04 58 60 58 58 60 58 04 04 04 04 04 04 04 04 04 04 04 58 58 58 58 04 04 04 04 04 04 04 04 04 04 04 04 04 38 04 04 04 04 04 04 04 04 "
