15
15
ROW 1
1 "44 60 44 44 44 44 60 60 44 44 44 44 60 60 44 44 44 44 44 44 58 58 58 58 58 58 58 44 44 44 60 44 44 44 60 58 58 58 58 58 58 58 58 58 58 44 44 44 44 60 58 58 44 58 44 58 58 58 44 58 58 58 44 44 44 44 58 58 58 58 60 44 44 58 58 58 58 58 60 44 60 44 58 58 58 44 44 44 44 44 58 58 58 58 58 44 44 58 58 58 58 44 44 44 60 60 44 58 58 58 58 58 44 58 58 58 58 58 44 44 44 44 44 58 58 44 58 58 44 60 58 44 58 58 58 58 44 44 44 60 58 58 58 58 44 44 58 58 58 58 58 58 58 60 44 44 44 58 58 44 44 44 60 58 58 58 44 58 58 58 60 44 44 44 60 44 60 44 44 44 58 58 58 58 58 58 44 44 44 44 60 60 "
2 "44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 61 61 44 61 61 61 44 44 44 44 44 44 44 44 61 61 61 61 61 61 61 61 61 44 44 44 44 44 44 61 61 60 61 61 61 61 61 61 61 61 44 44 44 44 44 61 61 61 61 61 61 61 61 61 61 61 44 44 58 44 44 61 61 61 61 61 60 61 61 61 61 61 44 58 58 58 58 58 60 61 61 61 61 61 61 61 61 61 58 58 58 58 58 58 58 61 61 61 61 61 61 61 61 61 44 58 58 44 58 58 60 61 61 60 61 61 61 61 61 61 61 44 44 44 44 60 58 61 61 61 61 61 61 60 61 61 61 44 44 44 44 44 44 44 61 61 44 44 61 61 61 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 "
3 "44 44 44 44 60 08 04 04 04 10 60 60 60 60 44 44 44 44 44 60 60 04 04 04 04 04 60 60 60 44 44 44 44 44 44 60 08 04 04 04 04 04 10 44 44 44 44 44 44 44 58 08 04 04 04 06 04 04 04 10 44 44 44 44 44 58 58 04 04 61 61 61 61 61 04 04 58 44 44 44 58 58 58 58 61 61 61 61 61 61 61 58 58 44 44 44 58 58 58 58 58 61 61 61 61 58 58 58 44 44 44 44 44 58 58 58 58 58 61 61 58 58 58 44 44 44 44 44 44 44 58 58 58 58 58 58 58 44 44 44 44 44 44 44 44 44 44 44 44 58 58 44 44 44 44 44 44 44 58 58 44 44 44 44 44 44 44 44 44 44 44 58 58 58 58 58 44 44 44 44 44 44 44 44 44 44 58 58 58 58 58 58 "
4 "44 44 60 60 60 60 44 44 44 44 60 44 44 44 44 44 44 44 60 60 60 44 44 44 44 44 44 44 58 58 44 44 44 60 58 58 58 44 58 44 44 44 58 58 58 58 58 58 44 44 58 58 58 58 58 58 58 58 58 58 58 44 58 58 44 58 58 58 58 58 58 58 58 58 58 58 58 60 58 58 44 44 58 58 44 60 58 58 58 44 58 58 58 58 58 58 44 44 44 58 58 58 58 44 60 58 58 83 84 85 58 58 44 44 60 58 58 58 58 58 58 58 58 84 84 84 58 58 44 58 58 58 58 58 58 58 58 58 83 84 82 84 85 58 58 58 58 58 58 60 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 "
5 "44 44 44 44 44 44 44 44 60 61 61 60 60 44 44 44 44 44 58 60 44 58 44 44 44 60 60 60 44 44 44 60 58 58 58 58 58 58 58 58 44 60 60 60 44 44 44 44 58 58 58 58 58 83 84 85 58 61 61 61 58 44 44 44 58 58 58 58 58 84 82 84 58 60 61 61 61 44 60 44 58 58 58 58 58 58 58 58 58 58 61 61 61 58 44 44 58 83 84 85 58 58 58 58 58 58 61 61 61 60 44 44 58 84 82 84 58 58 58 58 58 61 61 61 58 44 44 44 58 58 58 58 58 58 58 58 61 61 61 61 58 58 44 44 58 58 58 58 58 58 58 58 61 61 61 58 58 44 44 60 58 58 58 58 58 58 58 58 58 61 61 61 58 60 44 44 58 58 58 58 58 58 58 58 58 61 61 61 58 44 44 44 "
6 "44 44 44 60 60 44 44 44 44 44 60 44 44 44 44 44 44 44 44 44 44 44 44 44 60 44 44 44 44 60 44 44 60 44 60 44 44 44 44 08 10 44 44 44 44 60 60 44 44 44 44 60 44 44 08 04 04 10 44 60 44 44 44 44 44 44 44 44 60 08 04 04 04 04 10 44 44 60 44 44 44 60 44 60 58 04 04 04 06 04 04 10 44 44 60 44 44 44 44 58 58 58 58 58 58 58 58 58 44 44 44 44 60 44 44 58 44 58 60 44 58 58 58 58 58 44 44 44 44 44 58 58 58 58 58 58 58 58 44 58 44 60 60 44 44 60 58 58 58 58 44 58 58 58 58 58 44 60 60 44 44 44 44 44 58 58 58 58 44 58 58 60 44 44 44 44 44 60 44 58 58 58 58 58 58 58 44 44 44 60 44 44 "
7 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 39 22 22 22 22 22 22 22 22 22 22 22 22 22 22 62 62 62 62 22 22 22 22 22 22 22 62 62 62 62 22 62 62 62 62 62 62 22 22 22 22 22 62 62 62 62 22 62 62 62 62 62 62 62 62 22 22 22 22 62 62 62 22 22 62 62 62 62 62 62 62 62 22 22 22 22 22 22 22 22 22 62 62 62 62 62 62 62 62 22 22 22 22 22 22 22 22 22 62 62 62 62 62 62 62 22 22 22 22 22 22 22 22 22 22 62 62 62 62 62 22 22 22 22 22 22 22 22 22 22 22 22 22 62 62 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 "
8 "22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 62 62 62 62 22 22 22 22 22 22 62 62 22 22 22 62 62 62 62 62 62 22 39 22 22 22 62 62 62 62 62 62 62 62 62 62 62 62 62 62 22 22 62 62 62 62 62 62 62 62 62 62 62 62 62 62 22 22 22 22 62 62 62 62 62 62 62 62 62 62 62 22 22 22 22 22 62 62 62 62 62 62 62 22 62 62 22 22 22 22 22 22 22 62 62 62 62 22 22 22 22 22 22 22 22 22 22 22 62 62 62 62 62 22 22 22 22 22 22 22 22 22 22 22 62 62 62 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 "
9 "22 22 22 22 22 22 48 46 46 46 22 22 22 22 22 22 22 22 22 22 46 46 46 46 46 48 46 22 22 22 22 22 22 22 22 46 48 46 22 46 22 46 46 46 46 22 22 22 22 22 46 46 46 46 22 22 22 46 46 48 46 46 22 22 22 46 46 46 46 22 22 39 22 22 46 46 46 46 22 22 22 46 46 48 46 46 62 62 62 46 46 46 46 46 22 22 22 46 46 46 46 46 48 55 46 46 46 46 46 48 22 22 22 46 48 46 46 46 46 55 46 46 48 46 46 22 22 22 22 46 46 46 46 62 62 62 62 62 46 46 46 22 22 22 22 46 46 22 22 22 62 62 62 22 22 22 46 46 22 22 22 22 90 22 22 22 22 63 22 22 22 22 22 90 22 22 22 22 90 22 22 22 22 63 22 22 22 22 22 90 22 22 "
10"22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 46 46 46 46 48 46 22 22 22 22 22 22 22 22 22 46 48 46 22 46 46 46 46 22 22 22 22 22 22 46 46 46 46 22 22 22 46 46 48 46 22 22 22 22 46 46 46 46 22 22 39 22 22 46 46 46 46 22 22 22 46 46 48 46 22 62 62 62 22 46 46 46 48 22 22 22 22 46 46 46 46 46 55 46 46 48 46 46 22 22 22 22 22 48 46 46 48 46 55 46 46 46 46 46 46 22 22 22 22 46 46 22 62 62 62 62 62 22 22 46 46 22 22 22 22 46 46 22 22 62 62 62 22 22 22 46 46 22 22 22 22 46 46 46 22 22 63 22 22 22 46 46 46 22 22 22 22 22 90 90 22 22 63 22 22 22 90 90 22 22 22 "
11"22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 62 62 62 62 22 22 22 22 22 22 22 22 22 22 62 62 62 62 62 62 62 62 22 22 22 22 22 22 62 62 62 62 62 62 62 62 62 62 22 22 22 22 22 62 62 62 62 62 62 62 62 62 62 62 62 22 22 22 22 62 62 62 62 62 22 22 62 62 62 62 62 62 22 22 22 22 62 62 62 22 22 22 22 62 62 62 62 62 22 22 22 22 62 62 62 62 22 22 22 62 62 62 62 62 22 22 22 22 22 62 62 62 22 22 22 22 62 62 62 62 22 22 22 22 22 22 63 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 63 22 22 22 " 
12"22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 62 62 62 62 22 22 22 22 22 22 22 22 22 22 22 62 62 62 62 62 62 62 22 22 22 22 22 22 22 22 22 62 62 62 62 62 62 62 62 62 22 22 22 39 22 62 62 62 62 62 62 62 62 62 62 62 22 62 62 62 62 62 62 62 62 22 22 22 22 62 62 62 22 22 62 62 62 62 62 62 22 22 22 22 22 22 62 62 22 22 22 62 62 62 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 "
13"22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 62 62 62 62 62 22 22 22 22 22 22 22 22 62 22 62 62 62 62 62 62 22 22 62 62 62 22 22 62 62 62 62 62 62 62 22 22 22 62 62 62 62 62 22 62 62 62 62 62 22 22 22 22 62 62 62 62 62 62 62 62 62 62 62 22 22 22 22 22 62 62 62 62 62 62 62 62 62 62 62 62 22 22 22 22 62 62 22 62 62 62 62 62 62 62 62 62 22 22 22 22 62 22 22 22 22 22 22 62 62 62 62 62 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 "
14"22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 62 62 62 22 22 22 11 11 11 11 11 22 22 22 22 62 62 62 62 22 22 11 11 11 11 11 11 11 22 22 22 62 62 62 62 22 22 11 11 21 21 21 11 11 22 22 22 22 62 62 22 22 22 11 11 21 21 21 11 11 22 22 22 22 22 22 22 22 22 11 11 11 11 11 11 11 22 22 22 22 22 22 22 22 22 22 11 11 11 11 11 22 22 22 22 22 22 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 35 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 35 22 22 22 22 22 22 "
15"22 22 22 22 22 22 49 49 49 49 49 22 22 22 22 22 22 22 22 22 22 22 81 81 81 81 81 22 22 22 22 22 22 22 22 22 22 22 49 49 49 49 49 22 22 22 22 22 22 22 22 22 46 46 81 81 81 81 81 46 46 22 22 22 22 22 22 46 46 46 49 49 49 49 49 46 46 46 22 22 22 22 46 46 46 46 81 81 81 81 81 46 46 46 46 22 22 22 46 46 46 62 49 49 34 49 49 62 46 46 46 22 22 22 46 46 46 62 62 62 62 62 62 62 46 46 46 22 22 22 22 46 46 46 62 62 62 62 62 46 46 46 22 22 22 22 22 22 46 46 46 62 62 62 46 46 46 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 63 22 22 22 22 22 22 22 "
ROW 02
1 "44 44 44 44 58 58 58 58 58 58 44 44 44 44 44 44 44 44 44 44 58 58 58 58 58 58 58 44 60 44 44 44 60 60 44 60 58 44 58 58 58 58 58 58 58 60 44 44 60 44 44 58 58 58 58 58 58 58 58 58 58 58 58 44 44 44 44 58 58 58 58 60 44 58 58 58 58 58 58 58 44 44 58 58 58 58 58 60 58 58 58 58 58 58 58 58 44 44 58 58 58 58 58 58 58 58 58 58 58 44 58 58 44 58 58 58 44 60 58 58 58 58 58 58 58 58 58 44 44 60 58 58 58 58 58 58 60 44 58 58 58 60 44 44 44 60 58 58 58 58 58 44 44 44 44 58 60 44 44 44 44 44 58 58 58 58 58 44 44 44 44 44 44 44 44 44 44 44 58 58 58 58 44 44 44 44 44 44 44 44 44 44  "
2 "44 44 44 44 60 44 44 60 44 44 44 44 44 60 44 44 44 44 60 44 44 61 61 61 61 61 61 61 61 60 44 44 44 60 44 44 61 61 61 61 61 61 61 61 61 44 44 60 44 44 44 44 44 60 61 61 60 60 44 61 61 61 44 44 58 58 58 44 44 60 61 61 61 44 44 61 61 61 58 44 58 58 58 61 44 44 44 61 61 44 44 44 58 58 58 58 58 58 61 61 61 44 61 61 61 61 61 44 58 58 58 58 44 60 61 61 61 61 61 61 61 61 61 44 60 58 58 58 44 44 61 61 61 61 61 61 61 61 61 44 44 44 58 58 44 44 44 60 61 61 61 61 61 61 44 44 44 60 60 44 60 44 44 44 44 44 44 44 44 60 44 44 44 44 44 44 60 44 44 44 44 60 60 44 44 44 44 44 60 44 44 44 "
3 "44 60 44 44 44 44 44 44 44 44 58 58 58 58 58 58 44 44 44 44 44 44 60 60 44 58 58 58 44 58 58 58 44 44 44 44 44 44 44 44 58 58 58 58 60 58 58 58 44 44 44 44 60 58 58 58 58 44 58 58 58 58 44 58 44 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 44 58 58 58 58 58 60 44 58 58 58 58 58 58 58 58 58 58 60 44 58 58 58 60 58 58 58 58 58 58 44 60 58 58 58 58 58 58 58 58 58 60 44 58 58 58 58 58 58 58 58 44 58 58 58 58 58 58 58 58 44 58 58 58 60 58 58 60 58 58 60 60 58 58 58 58 44 60 44 58 58 44 58 58 58 58 58 58 58 44 58 58 44 44 60 58 58 58 58 58 58 58 58 58 58 58 58 58 "
4 "58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 44 58 58 60 44 58 58 58 58 83 84 85 60 58 58 58 60 58 58 58 60 58 58 58 58 84 82 84 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 44 58 58 83 84 85 58 58 60 58 58 58 58 58 58 60 60 58 58 84 82 84 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 44 58 58 58 58 58 58 58 58 58 60 58 58 58 58 58 58 58 58 58 60 58 58 44 58 58 58 58 58 44 58 58 58 58 58 44 58 58 60 58 58 58 58 58 58 60 60 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 44 58 58 58 58 58 58 58 58 44 58 58 58 58 58 58 58 58 "
5 "58 58 58 58 58 58 58 58 58 61 61 61 58 44 44 44 58 60 83 84 85 58 58 58 61 61 61 61 58 58 44 44 58 58 84 82 84 58 60 58 61 61 61 58 58 58 60 44 58 58 58 58 58 58 58 61 61 61 61 44 58 58 58 58 58 58 58 58 59 58 61 61 61 61 61 60 60 58 58 58 58 58 58 58 58 58 61 61 61 61 61 61 61 44 61 61 58 58 58 60 58 61 61 61 61 61 61 61 61 61 61 61 58 58 58 58 61 61 61 61 44 60 61 61 61 61 61 61 58 58 58 58 61 61 61 58 58 58 58 44 61 61 61 58 58 60 58 58 61 61 61 58 58 58 58 60 58 58 58 58 58 58 58 61 61 61 58 60 44 58 58 58 58 58 44 58 58 58 61 61 61 58 58 58 58 58 58 58 58 58 58 58 "
