5
5
ROW 1
1 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 58 04 61 61 61 61 61 61 61 61 61 61 61 04 58 58 58 04 61 61 61 61 60 61 61 61 61 61 61 04 58 58 58 04 61 61 61 61 61 61 61 61 61 61 61 04 58 58 58 58 61 61 61 61 61 61 61 61 61 61 61 04 04 04 04 04 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 60 61 61 61 61 61 58 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 60 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 "
2 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 60 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 60 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 60 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 60 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 "
3 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 58 04 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 04 04 04 04 04 04 04 04 04 04 04 04 04 58 58 58 58 04 04 04 04 04 04 04 04 04 04 04 58 58 04 58 58 04 04 04 04 04 04 04 04 04 04 04 58 04 04 58 04 04 04 04 04 04 04 04 04 04 04 61 61 61 61 61 61 04 04 04 04 04 04 04 04 04 04 04 61 61 61 61 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 04 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 04 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 04 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 04 04 04 04 04 04 04 "
4 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 61 61 61 04 04 04 04 04 04 04 04 04 61 61 61 61 61 61 61 61 04 61 61 04 04 04 04 61 61 61 61 61 61 61 61 61 61 61 61 04 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 04 61 61 61 61 61 61 61 04 04 04 61 61 61 04 04 61 61 61 61 61 61 61 61 61 04 04 04 04 04 04 04 61 61 61 61 61 61 61 61 61 61 61 04 04 04 04 04 04 61 61 61 61 61 61 61 61 61 61 61 04 04 04 04 04 04 61 61 61 61 61 61 61 61 61 61 61 04 04 04 04 04 04 04 61 61 61 04 04 04 61 61 61 04 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 04 04 "
5 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 61 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 61 61 04 04 04 04 04 61 61 61 61 04 04 04 61 61 61 61 61 04 04 04 61 61 61 61 61 61 04 04 04 04 61 61 61 04 04 61 61 61 61 61 61 61 61 04 04 04 61 61 61 04 04 61 61 61 04 04 61 61 61 04 04 04 61 61 61 61 61 61 61 61 04 04 61 61 61 04 04 04 04 61 61 61 61 61 61 04 04 04 61 61 61 04 04 04 04 04 61 61 61 61 04 04 04 61 61 61 61 04 04 04 04 04 04 04 04 04 04 04 61 61 61 61 04 04 04 04 04 04 04 04 04 04 04 04 61 61 61 04 04 04 "
ROW 2
1 "04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 04 61 61 61 60 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 60 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 60 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 "
2 "61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 60 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 60 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 60 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 60 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 04 04 04 04 04 58 58 58 58 58 58 58 58 58 58 58 04 "
3 "04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 61 61 61 61 61 61 61 61 61 61 61 61 04 04 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 04 61 61 61 58 58 58 58 58 58 58 58 61 61 61 04 04 61 61 58 58 58 58 58 58 58 58 58 58 61 61 04 04 61 61 58 58 58 58 58 58 58 58 58 58 61 61 04 04 61 61 58 58 58 58 58 58 58 58 58 58 61 61 04 04 61 61 58 58 58 58 58 58 58 58 58 58 61 61 04 04 61 61 61 58 58 58 58 58 58 58 58 61 61 61 04 04 61 61 61 61 61 61 61 61 61 61 61 61 61 61 04 04 04 61 61 61 61 61 61 61 61 61 61 61 61 04 04 04 04 04 04 04 04 04 61 04 04 04 04 04 04 04 04 "
